collection_name,set_name,detector_name,image_i,image_j,num_kpts_i,num_kpts_j,keypoint_threshold,dist_threshold,max_num_matches,num_matches,repeatability,accuracy
webcam,chamonix,lift,20130502_071500_10000.csv,20130622_161600_10000.csv,1555,1474,10000,3,1474,345,0.23405698778833106,0.3993653655052185
webcam,chamonix,lift,20130502_071500_10000.csv,20130627_112100_10000.csv,1555,1435,1000,3,1000,214,0.214,0.44153791666030884
webcam,chamonix,lift,20130502_071500_10000.csv,20130627_112100_10000.csv,1555,1435,5000,3,1435,372,0.25923344947735194,0.43541455268859863
webcam,chamonix,lift,20130502_071500_10000.csv,20130627_112100_10000.csv,1555,1435,10000,3,1435,372,0.25923344947735194,0.43541455268859863
webcam,chamonix,lift,20130502_071500_10000.csv,20130628_124600_10000.csv,1555,1440,1000,3,1000,230,0.23,0.47759366035461426
webcam,chamonix,lift,20130502_071500_10000.csv,20130628_124600_10000.csv,1555,1440,5000,3,1440,383,0.2659722222222222,0.46433186531066895
webcam,chamonix,lift,20130502_071500_10000.csv,20130628_124600_10000.csv,1555,1440,10000,3,1440,383,0.2659722222222222,0.46433186531066895
webcam,chamonix,lift,20130502_071500_10000.csv,20130628_141500_10000.csv,1555,1377,1000,3,1000,213,0.213,0.443981409072876
webcam,chamonix,lift,20130502_071500_10000.csv,20130628_141500_10000.csv,1555,1377,5000,3,1377,367,0.2665214233841685,0.4410663843154907
webcam,chamonix,lift,20130502_071500_10000.csv,20130628_141500_10000.csv,1555,1377,10000,3,1377,367,0.2665214233841685,0.4410663843154907
webcam,chamonix,lift,20130502_071500_10000.csv,20130630_081600_10000.csv,1555,1588,1000,3,1000,294,0.294,0.5534598529338837
webcam,chamonix,lift,20130502_071500_10000.csv,20130630_081600_10000.csv,1555,1588,5000,3,1555,474,0.3048231511254019,0.5162200331687927
webcam,chamonix,lift,20130502_071500_10000.csv,20130630_081600_10000.csv,1555,1588,10000,3,1555,474,0.3048231511254019,0.5162200331687927
webcam,chamonix,lift,20130502_071500_10000.csv,20130703_092000_10000.csv,1555,1345,1000,3,1000,199,0.199,0.48204129934310913
webcam,chamonix,lift,20130502_071500_10000.csv,20130703_092000_10000.csv,1555,1345,5000,3,1345,331,0.24609665427509295,0.45033174753189087
webcam,chamonix,lift,20130502_071500_10000.csv,20130703_092000_10000.csv,1555,1345,10000,3,1345,331,0.24609665427509295,0.45033174753189087
webcam,chamonix,lift,20130502_071500_10000.csv,20130704_152000_10000.csv,1555,1404,1000,3,1000,151,0.151,0.44659948348999023
webcam,chamonix,lift,20130502_071500_10000.csv,20130704_152000_10000.csv,1555,1404,5000,3,1404,315,0.22435897435897437,0.4325110912322998
webcam,chamonix,lift,20130502_071500_10000.csv,20130704_152000_10000.csv,1555,1404,10000,3,1404,315,0.22435897435897437,0.4325110912322998
webcam,chamonix,lift,20130502_071500_10000.csv,20130706_034500_10000.csv,1555,1447,1000,3,1000,261,0.261,0.45638614892959595
