collection_name,set_name,detector_name,image_i,image_j,num_kpts_i,num_kpts_j,keypoint_threshold,dist_threshold,max_num_matches,num_matches,repeatability,accuracy
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130622_161600_10000.csv,10000,10000,10000,3,10000,6954,0.6954,0.4046722650527954
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130627_112100_10000.csv,10000,10000,1000,3,1000,302,0.302,0.5253275632858276
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130627_112100_10000.csv,10000,10000,5000,3,5000,2289,0.4578,0.44756168127059937
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130627_112100_10000.csv,10000,10000,10000,3,10000,7054,0.7054,0.4238155484199524
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130628_124600_10000.csv,10000,10000,1000,3,1000,331,0.331,0.5137957334518433
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130628_124600_10000.csv,10000,10000,5000,3,5000,2322,0.4644,0.45628678798675537
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130628_124600_10000.csv,10000,10000,10000,3,10000,7051,0.7051,0.4326690435409546
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130628_141500_10000.csv,10000,10000,1000,3,1000,320,0.32,0.529902458190918
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130628_141500_10000.csv,10000,10000,5000,3,5000,2312,0.4624,0.44424450397491455
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130628_141500_10000.csv,10000,10000,10000,3,10000,7110,0.711,0.4249070882797241
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130630_081600_10000.csv,10000,10000,1000,3,1000,394,0.394,0.5680270493030548
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130630_081600_10000.csv,10000,10000,5000,3,5000,2461,0.4922,0.47143954038619995
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130630_081600_10000.csv,10000,10000,10000,3,10000,7199,0.7199,0.4399193525314331
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130703_092000_10000.csv,10000,10000,1000,3,1000,289,0.289,0.5082186162471771
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130703_092000_10000.csv,10000,10000,5000,3,5000,2279,0.4558,0.4538115859031677
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130703_092000_10000.csv,10000,10000,10000,3,10000,6988,0.6988,0.42181408405303955
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130704_152000_10000.csv,10000,10000,1000,3,1000,254,0.254,0.4641987681388855
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130704_152000_10000.csv,10000,10000,5000,3,5000,2212,0.4424,0.4256919026374817
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130704_152000_10000.csv,10000,10000,10000,3,10000,6968,0.6968,0.4037697911262512
webcam,chamonix,superpoint,20130502_071500_10000.csv,20130706_034500_10000.csv,10000,10000,1000,3,1000,346,0.346,0.5051771402359009
