# height, width, number of rows, number of columns
# 1080, 1920, 10000, 7
# x, y, size, angle, response, octave, class_id
7.990000000000000000e+02,6.290000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,5.598329305648803711e-01,0.000000000000000000e+00,-1.000000000000000000e+00
8.340000000000000000e+02,1.530000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,4.445000290870666504e-01,0.000000000000000000e+00,-1.000000000000000000e+00
8.720000000000000000e+02,2.100000000000000000e+01,1.000000000000000000e+00,-1.000000000000000000e+00,3.800222277641296387e-01,0.000000000000000000e+00,-1.000000000000000000e+00
8.630000000000000000e+02,2.020000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,3.729974329471588135e-01,0.000000000000000000e+00,-1.000000000000000000e+00
8.870000000000000000e+02,7.860000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,3.540005683898925781e-01,0.000000000000000000e+00,-1.000000000000000000e+00
8.730000000000000000e+02,9.030000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,3.432682156562805176e-01,0.000000000000000000e+00,-1.000000000000000000e+00
3.820000000000000000e+02,4.080000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,3.198683261871337891e-01,0.000000000000000000e+00,-1.000000000000000000e+00
8.890000000000000000e+02,2.100000000000000000e+01,1.000000000000000000e+00,-1.000000000000000000e+00,3.189358115196228027e-01,0.000000000000000000e+00,-1.000000000000000000e+00
7.630000000000000000e+02,5.620000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,3.126763105392456055e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.864000000000000000e+03,3.900000000000000000e+01,1.000000000000000000e+00,-1.000000000000000000e+00,2.969182729721069336e-01,0.000000000000000000e+00,-1.000000000000000000e+00
8.070000000000000000e+02,5.920000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.961319684982299805e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.849000000000000000e+03,1.560000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.911078035831451416e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.848000000000000000e+03,2.910000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.896663248538970947e-01,0.000000000000000000e+00,-1.000000000000000000e+00
9.430000000000000000e+02,4.960000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.871953248977661133e-01,0.000000000000000000e+00,-1.000000000000000000e+00
7.770000000000000000e+02,4.050000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.804121971130371094e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.055000000000000000e+03,3.690000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.762363255023956299e-01,0.000000000000000000e+00,-1.000000000000000000e+00
9.140000000000000000e+02,5.200000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.575147151947021484e-01,0.000000000000000000e+00,-1.000000000000000000e+00
3.710000000000000000e+02,4.220000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.567174732685089111e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.813000000000000000e+03,5.500000000000000000e+01,1.000000000000000000e+00,-1.000000000000000000e+00,2.543095648288726807e-01,0.000000000000000000e+00,-1.000000000000000000e+00
8.230000000000000000e+02,1.690000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.509012222290039062e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.839000000000000000e+03,6.900000000000000000e+01,1.000000000000000000e+00,-1.000000000000000000e+00,2.473903596401214600e-01,0.000000000000000000e+00,-1.000000000000000000e+00
7.710000000000000000e+02,2.320000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.305340617895126343e-01,0.000000000000000000e+00,-1.000000000000000000e+00
9.380000000000000000e+02,8.640000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.226660698652267456e-01,0.000000000000000000e+00,-1.000000000000000000e+00
9.470000000000000000e+02,8.920000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.211001068353652954e-01,0.000000000000000000e+00,-1.000000000000000000e+00
6.790000000000000000e+02,9.820000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.121023237705230713e-01,0.000000000000000000e+00,-1.000000000000000000e+00
9.500000000000000000e+02,8.740000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.118044346570968628e-01,0.000000000000000000e+00,-1.000000000000000000e+00
9.300000000000000000e+02,8.260000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.100317180156707764e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.138000000000000000e+03,8.010000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.066227346658706665e-01,0.000000000000000000e+00,-1.000000000000000000e+00
6.390000000000000000e+02,9.170000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,2.032296508550643921e-01,0.000000000000000000e+00,-1.000000000000000000e+00
6.810000000000000000e+02,9.590000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.957157105207443237e-01,0.000000000000000000e+00,-1.000000000000000000e+00
9.470000000000000000e+02,8.340000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.949350386857986450e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.768000000000000000e+03,8.500000000000000000e+01,1.000000000000000000e+00,-1.000000000000000000e+00,1.940359473228454590e-01,0.000000000000000000e+00,-1.000000000000000000e+00
4.640000000000000000e+02,4.220000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.903051286935806274e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.253000000000000000e+03,5.890000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.879846453666687012e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.012000000000000000e+03,5.510000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.843607872724533081e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.845000000000000000e+03,9.510000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.841805130243301392e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.808000000000000000e+03,4.400000000000000000e+01,1.000000000000000000e+00,-1.000000000000000000e+00,1.823679655790328979e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.872000000000000000e+03,1.980000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.818481981754302979e-01,0.000000000000000000e+00,-1.000000000000000000e+00
7.870000000000000000e+02,6.490000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.805762201547622681e-01,0.000000000000000000e+00,-1.000000000000000000e+00
8.350000000000000000e+02,7.370000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.779097914695739746e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.035000000000000000e+03,3.800000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.722897738218307495e-01,0.000000000000000000e+00,-1.000000000000000000e+00
7.400000000000000000e+02,5.230000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.717537939548492432e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.851000000000000000e+03,8.400000000000000000e+01,1.000000000000000000e+00,-1.000000000000000000e+00,1.708904951810836792e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.829000000000000000e+03,2.060000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.703913360834121704e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.849000000000000000e+03,1.016000000000000000e+03,1.000000000000000000e+00,-1.000000000000000000e+00,1.685788184404373169e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.852000000000000000e+03,1.027000000000000000e+03,1.000000000000000000e+00,-1.000000000000000000e+00,1.675738245248794556e-01,0.000000000000000000e+00,-1.000000000000000000e+00
6.910000000000000000e+02,9.080000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.662258058786392212e-01,0.000000000000000000e+00,-1.000000000000000000e+00
7.930000000000000000e+02,3.950000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.658148765563964844e-01,0.000000000000000000e+00,-1.000000000000000000e+00
9.730000000000000000e+02,8.710000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.623593121767044067e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.887000000000000000e+03,2.740000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.620864719152450562e-01,0.000000000000000000e+00,-1.000000000000000000e+00
7.490000000000000000e+02,4.070000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.618774533271789551e-01,0.000000000000000000e+00,-1.000000000000000000e+00
9.840000000000000000e+02,7.930000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.602499634027481079e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.863000000000000000e+03,7.900000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.568758934736251831e-01,0.000000000000000000e+00,-1.000000000000000000e+00
8.640000000000000000e+02,8.200000000000000000e+01,1.000000000000000000e+00,-1.000000000000000000e+00,1.566168069839477539e-01,0.000000000000000000e+00,-1.000000000000000000e+00
8.290000000000000000e+02,1.960000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.555552035570144653e-01,0.000000000000000000e+00,-1.000000000000000000e+00
6.720000000000000000e+02,3.250000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.541459709405899048e-01,0.000000000000000000e+00,-1.000000000000000000e+00
1.044000000000000000e+03,5.120000000000000000e+02,1.000000000000000000e+00,-1.000000000000000000e+00,1.539796441793441772e-01,0.000000000000000000e+00,-1.000000000000000000e+00
