# height, width, number of rows, number of columns
# 2976, 3968, 10000, 7
# x, y, size, angle, response, octave, class_id
1.434034667968750000e+03,1.723100219726562500e+03,3.496952772140502930e+00,0.000000000000000000e+00,2.029954147338867188e+01,1.474560000000000000e+07,-1.000000000000000000e+00
1.903683349609375000e+03,1.516240722656250000e+03,2.997267007827758789e+00,0.000000000000000000e+00,1.984848594665527344e+01,8.388608000000000000e+06,-1.000000000000000000e+00
3.368834960937500000e+03,1.446500732421875000e+03,3.606792926788330078e+00,0.000000000000000000e+00,1.960597229003906250e+01,1.703936000000000000e+07,-1.000000000000000000e+00
1.139641113281250000e+03,1.576519042968750000e+03,5.983100891113281250e+00,0.000000000000000000e+00,1.913222694396972656e+01,2.018560000000000000e+07,-1.000000000000000000e+00
1.664379394531250000e+03,1.125395263671875000e+03,2.640653371810913086e+00,0.000000000000000000e+00,1.900332260131835938e+01,8.388608000000000000e+06,-1.000000000000000000e+00
2.690437927246093750e+02,1.711556396484375000e+03,2.542614698410034180e+00,0.000000000000000000e+00,1.893216133117675781e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.192660140991210938e+02,9.724528198242187500e+02,3.317931413650512695e+00,0.000000000000000000e+00,1.882872390747070312e+01,1.094451200000000000e+07,-1.000000000000000000e+00
2.670391845703125000e+03,1.400767059326171875e+02,6.235723495483398438e+00,0.000000000000000000e+00,1.859833335876464844e+01,2.320025600000000000e+07,-1.000000000000000000e+00
1.765088378906250000e+03,1.127818237304687500e+03,4.364082336425781250e+00,0.000000000000000000e+00,1.848421096801757812e+01,1.409049600000000000e+07,-1.000000000000000000e+00
1.772134033203125000e+03,1.137325195312500000e+03,2.700779438018798828e+00,0.000000000000000000e+00,1.820410919189453125e+01,8.388608000000000000e+06,-1.000000000000000000e+00
3.243163818359375000e+03,5.053540954589843750e+02,2.739430904388427734e+00,0.000000000000000000e+00,1.818361091613769531e+01,8.388608000000000000e+06,-1.000000000000000000e+00
3.698284606933593750e+02,1.549365356445312500e+03,2.528410911560058594e+00,0.000000000000000000e+00,1.817224693298339844e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.541510253906250000e+03,1.245609741210937500e+03,5.146039485931396484e+00,0.000000000000000000e+00,1.802216720581054688e+01,9.306624000000000000e+06,-1.000000000000000000e+00
3.065940429687500000e+03,4.238644409179687500e+02,2.736845254898071289e+00,0.000000000000000000e+00,1.801270103454589844e+01,8.388608000000000000e+06,-1.000000000000000000e+00
3.198981689453125000e+03,6.661581420898437500e+02,2.956972599029541016e+00,0.000000000000000000e+00,1.799399566650390625e+01,8.388608000000000000e+06,-1.000000000000000000e+00
3.399643310546875000e+03,5.003356933593750000e+02,3.346913337707519531e+00,0.000000000000000000e+00,1.793970489501953125e+01,1.159987200000000000e+07,-1.000000000000000000e+00
1.675811889648437500e+03,1.208351318359375000e+03,4.113895416259765625e+00,0.000000000000000000e+00,1.790436744689941406e+01,9.830656000000000000e+06,-1.000000000000000000e+00
1.686683837890625000e+03,1.221046508789062500e+03,5.110379219055175781e+00,0.000000000000000000e+00,1.776679801940917969e+01,8.782336000000000000e+06,-1.000000000000000000e+00
4.528639831542968750e+02,6.988414306640625000e+02,3.794116020202636719e+00,0.000000000000000000e+00,1.776310729980468750e+01,2.064384000000000000e+07,-1.000000000000000000e+00
5.828464355468750000e+02,9.499056396484375000e+02,3.069230079650878906e+00,0.000000000000000000e+00,1.769891166687011719e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.629003906250000000e+03,1.253962768554687500e+03,7.144420623779296875e+00,0.000000000000000000e+00,1.767563438415527344e+01,1.631846500000000000e+07,-1.000000000000000000e+00
6.206386718750000000e+02,7.316136474609375000e+02,3.421107769012451172e+00,0.000000000000000000e+00,1.754841613769531250e+01,1.317273600000000000e+07,-1.000000000000000000e+00
3.000787963867187500e+02,8.527656860351562500e+02,2.987232446670532227e+00,0.000000000000000000e+00,1.753300666809082031e+01,8.388608000000000000e+06,-1.000000000000000000e+00
3.015198242187500000e+03,5.007086486816406250e+02,3.349111080169677734e+00,0.000000000000000000e+00,1.751834678649902344e+01,1.166540800000000000e+07,-1.000000000000000000e+00
1.750483032226562500e+03,1.335882690429687500e+03,3.318708181381225586e+00,0.000000000000000000e+00,1.748863601684570312e+01,1.101004800000000000e+07,-1.000000000000000000e+00
1.556994262695312500e+03,1.311162231445312500e+03,4.765112400054931641e+00,0.000000000000000000e+00,1.744444656372070312e+01,2.044748800000000000e+07,-1.000000000000000000e+00
4.864478149414062500e+02,6.814741210937500000e+02,3.540701866149902344e+00,0.000000000000000000e+00,1.743374633789062500e+01,1.566310400000000000e+07,-1.000000000000000000e+00
1.580413818359375000e+03,1.213034545898437500e+03,7.761600017547607422e+00,0.000000000000000000e+00,1.741577529907226562e+01,2.228224100000000000e+07,-1.000000000000000000e+00
1.771574462890625000e+03,1.337835327148437500e+03,5.206165790557861328e+00,0.000000000000000000e+00,1.737756919860839844e+01,1.015859200000000000e+07,-1.000000000000000000e+00
1.556447998046875000e+03,1.021712951660156250e+03,3.444114923477172852e+00,0.000000000000000000e+00,1.727675247192382812e+01,1.369702400000000000e+07,-1.000000000000000000e+00
3.363986083984375000e+03,1.079623657226562500e+03,2.655842781066894531e+00,0.000000000000000000e+00,1.724275970458984375e+01,8.388608000000000000e+06,-1.000000000000000000e+00
6.240067138671875000e+02,7.311683349609375000e+02,4.743421554565429688e+00,0.000000000000000000e+00,1.723379707336425781e+01,2.011980800000000000e+07,-1.000000000000000000e+00
1.718036010742187500e+03,9.303955078125000000e+02,4.388621807098388672e+00,0.000000000000000000e+00,1.722927474975585938e+01,1.448371200000000000e+07,-1.000000000000000000e+00
1.852961425781250000e+03,1.113300903320312500e+03,3.972239971160888672e+00,0.000000000000000000e+00,1.719687080383300781e+01,2.398617600000000000e+07,-1.000000000000000000e+00
1.295812377929687500e+02,1.056625244140625000e+03,2.486509799957275391e+00,0.000000000000000000e+00,1.718076324462890625e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.654596313476562500e+03,1.277373657226562500e+03,3.669952869415283203e+00,0.000000000000000000e+00,1.717532920837402344e+01,1.828454400000000000e+07,-1.000000000000000000e+00
1.865794311523437500e+03,1.123061035156250000e+03,4.572495937347412109e+00,0.000000000000000000e+00,1.715665817260742188e+01,1.743283200000000000e+07,-1.000000000000000000e+00
1.517302124023437500e+03,1.327144531250000000e+03,4.634535312652587891e+00,0.000000000000000000e+00,1.711310005187988281e+01,1.841587200000000000e+07,-1.000000000000000000e+00
1.521458374023437500e+03,4.150877990722656250e+02,3.459131240844726562e+00,0.000000000000000000e+00,1.710884094238281250e+01,1.395916800000000000e+07,-1.000000000000000000e+00
1.749639404296875000e+03,1.129536865234375000e+03,3.968457698822021484e+00,0.000000000000000000e+00,1.707295417785644531e+01,2.392064000000000000e+07,-1.000000000000000000e+00
1.259017181396484375e+01,1.775974487304687500e+03,2.624427556991577148e+00,0.000000000000000000e+00,1.705872344970703125e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.531499511718750000e+03,1.389690917968750000e+03,2.894847869873046875e+00,0.000000000000000000e+00,1.705289459228515625e+01,8.388608000000000000e+06,-1.000000000000000000e+00
3.595256652832031250e+02,8.729177246093750000e+02,3.368046045303344727e+00,0.000000000000000000e+00,1.704576873779296875e+01,1.205862400000000000e+07,-1.000000000000000000e+00
3.211771240234375000e+03,8.350952148437500000e+02,2.568273305892944336e+00,0.000000000000000000e+00,1.695993232727050781e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.378581420898437500e+03,1.357567871093750000e+03,5.252211093902587891e+00,0.000000000000000000e+00,1.695729637145996094e+01,1.074841600000000000e+07,-1.000000000000000000e+00
3.514288818359375000e+03,1.418620361328125000e+03,2.642938375473022461e+00,0.000000000000000000e+00,1.694499588012695312e+01,8.388608000000000000e+06,-1.000000000000000000e+00
8.683345336914062500e+02,1.293178833007812500e+03,3.581302165985107422e+00,0.000000000000000000e+00,1.693604278564453125e+01,1.651507200000000000e+07,-1.000000000000000000e+00
3.199595642089843750e+02,1.492626831054687500e+03,2.543903827667236328e+00,0.000000000000000000e+00,1.693588066101074219e+01,8.388608000000000000e+06,-1.000000000000000000e+00
7.567764282226562500e+01,1.102376831054687500e+03,8.576503753662109375e+00,0.000000000000000000e+00,1.688945770263671875e+01,1.284531300000000000e+07,-1.000000000000000000e+00
1.804147583007812500e+03,1.013744018554687500e+03,4.636088848114013672e+00,0.000000000000000000e+00,1.688388442993164062e+01,1.848140800000000000e+07,-1.000000000000000000e+00
1.104832641601562500e+03,1.563720092773437500e+03,3.285976886749267578e+00,0.000000000000000000e+00,1.686375236511230469e+01,1.028915200000000000e+07,-1.000000000000000000e+00
3.296604492187500000e+03,4.592245178222656250e+02,2.681001186370849609e+00,0.000000000000000000e+00,1.685490608215332031e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.436091674804687500e+03,1.239769409179687500e+03,3.208660125732421875e+00,0.000000000000000000e+00,1.681215667724609375e+01,8.519680000000000000e+06,-1.000000000000000000e+00
1.758265258789062500e+03,1.112820068359375000e+03,3.314349889755249023e+00,0.000000000000000000e+00,1.681030273437500000e+01,1.087897600000000000e+07,-1.000000000000000000e+00
1.675377197265625000e+03,1.295739624023437500e+03,2.497140645980834961e+00,0.000000000000000000e+00,1.675978660583496094e+01,8.388608000000000000e+06,-1.000000000000000000e+00
7.293132324218750000e+02,6.741270751953125000e+02,3.103022098541259766e+00,0.000000000000000000e+00,1.673649406433105469e+01,8.388608000000000000e+06,-1.000000000000000000e+00
3.394038818359375000e+03,9.632581176757812500e+02,3.224166393280029297e+00,0.000000000000000000e+00,1.672544288635253906e+01,8.912896000000000000e+06,-1.000000000000000000e+00
1.713088012695312500e+03,1.033164062500000000e+03,5.600417613983154297e+00,0.000000000000000000e+00,1.668370628356933594e+01,1.540147200000000000e+07,-1.000000000000000000e+00
3.187410400390625000e+03,9.641192626953125000e+02,3.641143321990966797e+00,0.000000000000000000e+00,1.668160438537597656e+01,1.769472000000000000e+07,-1.000000000000000000e+00
1.645339843750000000e+03,7.852437133789062500e+02,3.090818166732788086e+00,0.000000000000000000e+00,1.667729949951171875e+01,8.388608000000000000e+06,-1.000000000000000000e+00
3.749798583984375000e+03,2.707691650390625000e+02,2.601748704910278320e+00,0.000000000000000000e+00,1.666588973999023438e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.569748291015625000e+03,6.772122802734375000e+02,3.975659608840942383e+00,0.000000000000000000e+00,1.664266395568847656e+01,2.405171200000000000e+07,-1.000000000000000000e+00
6.157476806640625000e+02,9.552834472656250000e+02,5.537545204162597656e+00,0.000000000000000000e+00,1.662097740173339844e+01,1.461504000000000000e+07,-1.000000000000000000e+00
1.587656494140625000e+03,1.194899414062500000e+03,4.053665637969970703e+00,0.000000000000000000e+00,1.658301925659179688e+01,8.716544000000000000e+06,-1.000000000000000000e+00
3.097033203125000000e+03,1.688976135253906250e+02,3.405763626098632812e+00,0.000000000000000000e+00,1.657501983642578125e+01,1.284505600000000000e+07,-1.000000000000000000e+00
2.566035156250000000e+03,1.829819946289062500e+02,3.599231481552124023e+00,0.000000000000000000e+00,1.655849456787109375e+01,1.684275200000000000e+07,-1.000000000000000000e+00
3.566617187500000000e+03,2.838979187011718750e+02,2.679437637329101562e+00,0.000000000000000000e+00,1.654126548767089844e+01,8.388608000000000000e+06,-1.000000000000000000e+00
1.422137573242187500e+03,1.459665771484375000e+03,7.995000839233398438e+00,0.000000000000000000e+00,1.648961257934570312e+01,2.444492900000000000e+07,-1.000000000000000000e+00
